Team Code,Team Name
G16STORM1AZ,ARIZONA STORM 16 THUNDER
G16STORM2AZ,ARIZONA STORM 16LIGHTNING
G12STORM1AZ,ARIZONA STORM 12 THUNDER
G13STORM1AZ,ARIZONA STORM 13 THUNDER
G14STORM1AZ,ARIZONA STORM 14 THUNDER
G15STORM2AZ,ARIZONA STORM 15LIGHTNING
G15STORM1AZ,ARIZONA STORM 15 THUNDER
G15ASPIR1AZ,Aspire 15 Alpha
G16ASPIR1AZ,Aspire 16 Alpha
G17ASPIR1AZ,Aspire 17 Alpha
G17ATHEN1CE,ATHENA VB 17-1 Gold National
G16ATHEN1CE,ATHENA VB 16-1 Gold National
G15ATHEN1CE,ATHENA VB 15-1 Gold National
G14ATHEN1CE,ATHENA VB 14-1 Gold National
G18ATHEN1CE,ATHENA VB 18-1 Gold National
G18APVBC1SO,APVB 18 Elite
G14ATOMC1AZ,ATOMIC 14 Smack Premier
G15AJVBA1LS,AJV 15 adidas
G16AJVBA1LS,AJV 16 adidas
G18AJVBA1LS,AJV 18 adidas
G17AJVBA1LS,AJV 17 adidas
G16APERF1LS,AP 16 adidas
G15APERF1LS,AP 15 adidas
G13APERF1LS,AP 13 adidas
G14ASKYL1LS,Austin Skyline 14 Royal
G15ASKYL1LS,Austin Skyline 15 Royal
G16ASKYL1LS,Austin Skyline 16 Royal
G17ASKYL1LS,Austin Skyline 17 Royal
G18ASKYL1LS,Austin Skyline 18 Royal
G16BGSKY1EV,Big Sky 16-1
G16BOMER1FL,BVA 16 N Chris
G16CJVVB1CR,CJV 16 Mizuno
G15CJVVB1CR,CJV 15 Mizuno
G15CARUN1CR,CUVC 15 Open
G16CARUN1CR,CUVC 16 Open
G14CARUN1CR,CUVC 14 Open
G17CARUN1CR,CUVC 17 Open
G17CHICI1GL,Chi City Elite 171
G17CITYV1SC,CITY 17 Gold
G13CVBCO1OV,CVC 13 BLACK
G15CVBCO1OV,CVC 15 BLACK
G18CVBCO1OV,CVC 18 BLACK
G15CNVBC1HA,Mizuno CNVBC 15Coach Ib
G16CNVBC1HA,Mizuno CNVBC 16Angela
G16ONEVB1AZ,Club One AZ 16Platinum
G17ONEVB1AZ,Club One AZ 17Platinum
G15ONEVB1AZ,Club One AZ 15Platinum
G15CLSVB1IM,Club Sand 15 Leão
G15CLUBV2IM,Club V 15 Prodigy Kyle
G15CLUBV1IM,Club V 15 Prodigy Steph
G14CLUBV2IM,Club V 14 Prodigy Austin
G14CLUBV1IM,Club V 14 Prodigy Silver
G17CLUBV2IM,Club V 17 Prodigy Silver
G17CLUBV1IM,Club V 17 Prodigy Reed
G16CLUBV2IM,Club V 16 Prodigy Jenna
G16CLUBV1IM,Club V 16 Prodigy Reed
G18CLUBV1IM,Club V 18 Prodigy Wayne
G18CLUBV2IM,Club V 18 Prodigy Kolton
G18COAST1SC,COAST 18-1 Victor
G18COAST2SC,COAST 18-2 Caio
G16COAST1SC,COAST 16-1 Nilay
G16COAST2SC,COAST 16-2 Davis
G17COAST1SC,COAST 17-1 Ozhan
G17COAST2SC,COAST 17-2 Bela
G14COAST1SC,COAST 14-1 Said
G13COAST1SC,COAST 13-1 Tina
G15COAST1SC,COAST 15-1 Luis
G15COAST2SC,COAST 15-2 Colton
G17CPAVB1EV,CPA 17 Benson
G16CPAVB1EV,CPA 16 Drew
G18CPAVB1EV,CPA 18 Benson
G16COELT1RM,Colorado Elite 16 Grizzly
G17COELT1RM,Colorado Elite 17 Grizzly
G17COJRS2RM,CoJrs 17Tara/Amy
G17COJRS1RM,CoJrs 17Kevin
G16COJRS2RM,CoJrs 16Bri
G16COJRS1RM,CoJrs 16Sherri
G15COJRS1RM,CoJrs 15Shannon
G15COJRS2RM,CoJrs 15Candace
G14COJRS1RM,CoJrs 14Jen
G15DAKWA1PS,DaKine U15 National Pink
G16DAKWA1PS,DaKine U16 National Pink
G17DAKWA1PS,Dakine U17 National Pink
G17PREMR1NT,Premier 17 Black G
G16PREMR1NT,Premier 16 Black A
G15PREMR3NT,Premier 15 Crimson W
G18PREMR1NT,Premier 18 Black
G15DRIVE1NT,Drive Nation 15-Red
G16DRIVE1NT,Drive Nation 16-Red
G17DRIVE1NT,Drive Nation 17-Red
G15DUNES1HO,Dunes 15 Black
G18ECPWR1KE,EC Power KOP 18 Black
G18ELATH1IM,Elevate Athletics 18 Nike
G17ELATH1IM,Elevate Athletics 17 Nike
G17ELEVA1OV,Elevation 17 Chicas
G16ELEVA1OV,Elevation 16 Renfro
G15ELEVA1OV,Elevation 15 ED
G14ELEVA1OV,Elevation 14 Case
G13ELEVA1OV,Elevation 13-Molly
G18ELEVA1OV,Elevation 18 Lehman
G13ELEVB1RM,Elevation 13 Peak
G16ELEVB1RM,Elevation 16 Peak
G17EXCEL1NT,EXCEL 17 National Red
G14EXCEL1NT,EXCEL 14 National Red
G13EXCEL1NT,EXCEL 13 National Red
G12EXCEL1NT,EXCEL 12 National Red
G15EXCEL1NT,EXCEL 15 National Red
