Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-51633,9931,FRVBC 17-1 Black,126031,Kairos 17 Alpha,FRVBC 17-1 Black,"25-17, 25-20"
-51713,126031,Kairos 17 Alpha,11721,Momentum 17 Tara,Kairos 17 Alpha,"25-18, 25-13"
-51715,126031,Kairos 17 Alpha,185233,Colorado Skyline 17 Royal,Kairos 17 Alpha,"23-25, 25-18, 15-6"
-51717,71451,CoJrs 17Kaleena,126031,Kairos 17 Alpha,Kairos 17 Alpha,"25-13, 25-23"
-51756,9931,FRVBC 17-1 Black,126031,Kairos 17 Alpha,Kairos 17 Alpha,"23-25, 25-23, 15-12"
-51753,110901,ID Crush 17 Bower,126031,Kairos 17 Alpha,Kairos 17 Alpha,"26-24, 25-20"
-51622,71451,CoJrs 17Kaleena,9709,NORCO 17 Black,NORCO 17 Black,"25-23, 25-21"
-51624,110901,ID Crush 17 Bower,71451,CoJrs 17Kaleena,ID Crush 17 Bower,"25-16, 25-21"
-51712,71451,CoJrs 17Kaleena,185233,Colorado Skyline 17 Royal,CoJrs 17Kaleena,"25-18, 25-17"
-51714,71451,CoJrs 17Kaleena,11721,Momentum 17 Tara,CoJrs 17Kaleena,"25-8, 25-8"
-51757,9709,NORCO 17 Black,71451,CoJrs 17Kaleena,CoJrs 17Kaleena,"21-25, 25-20, 15-13"
-51619,110901,ID Crush 17 Bower,9709,NORCO 17 Black,ID Crush 17 Bower,"25-12, 22-25, 15-12"
-51685,110901,ID Crush 17 Bower,25140,CVA 17 Black,ID Crush 17 Bower,"25-11, 25-7"
-51687,110901,ID Crush 17 Bower,9870,NORCO 17 Blue,ID Crush 17 Bower,"25-21, 25-15"
-51690,110901,ID Crush 17 Bower,104187,Rocky Elite  17 National,ID Crush 17 Bower,"25-14, 25-17"
-51755,110901,ID Crush 17 Bower,56329,Elevation 17 Peak,ID Crush 17 Bower,"25-20, 30-28"
-51628,9931,FRVBC 17-1 Black,56329,Elevation 17 Peak,Elevation 17 Peak,"23-25, 25-16, 15-11"
-51632,56329,Elevation 17 Peak,202662,Topeka Impact 17-1,Topeka Impact 17-1,"25-18, 25-18"
-51695,56329,Elevation 17 Peak,833,OK Charge 17 UA,Elevation 17 Peak,"25-20, 22-25, 15-8"
-51697,56329,Elevation 17 Peak,206534,Club 801 U18 Callie,Elevation 17 Peak,"25-23, 25-18"
-51760,144060,South County 17 Bonnie,56329,Elevation 17 Peak,Elevation 17 Peak,"25-17, 25-22"
-51630,9931,FRVBC 17-1 Black,202662,Topeka Impact 17-1,FRVBC 17-1 Black,"25-20, 26-24"
-51721,9931,FRVBC 17-1 Black,45771,Juggernaut 17-National1,FRVBC 17-1 Black,"27-25, 17-25, 15-10"
-51723,9931,FRVBC 17-1 Black,202113,Club V 17 Red Megan,FRVBC 17-1 Black,"25-11, 25-22"
-51726,9931,FRVBC 17-1 Black,71273,VCNebraska 17 Elite,FRVBC 17-1 Black,"23-25, 26-24, 15-9"
-51703,9709,NORCO 17 Black,206877,Midwest Elite 17-1,NORCO 17 Black,"25-19, 22-25, 15-7"
-51705,9709,NORCO 17 Black,144060,South County 17 Bonnie,NORCO 17 Black,"25-10, 25-17"
-51708,9709,NORCO 17 Black,202662,Topeka Impact 17-1,Topeka Impact 17-1,"15-25, 27-25, 15-13"
-51638,71273,VCNebraska 17 Elite,125122,Excel NW 17-1 Lux,VCNebraska 17 Elite,"25-21, 25-9"
-51640,71273,VCNebraska 17 Elite,182988,VC Denver 17 Black,VCNebraska 17 Elite,"25-23, 25-16"
