TeamCode,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 14-17,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational
g13alper1pr,Alpha A.31,,,,9 (13 Club White)
g13arvbc1ov,AVA-13N Adams,,,,5 (13 Club Red)
g13arvbc2ov,AVA-13N Boyd,,,,15 (13 Club White)
g13asmun1ho,Munciana 12 Peppers,14 (12 & Under),,,
g13belie1rm,Believe 13 Jubilee,,,13 (13 Club),
g13blcsh1pr,CVC 13U National,,,,13 (13 Club Red)
g13bluvb1lk,Blue 13-1,,,,9 (13 Club Blue)
g13blvbc1ho,BTownVBC 13 Red,,,,2 (13 Club White)
g13bravo1pr,BRAVO 13 Black,,,,3 (13 Club White)
g13bsvbc1ov,Black Swamp 131,,,,27 (13 Premier)
g13ccity1ho,Circle City 13 Purple,,,,5 (13 Open)
g13ccity2ho,Circle City 13 Black,,,,3 (13 Premier)
g13ccity3ho,Circle City 13 White,,,,9 (13 Club Blue)
g13ccrsh1ov,Cincy Crush 13-1,,,,3 (13 Premier)
g13ccvbc1ov,Cincy Classics 13 Red,,,,21 (13 Club Blue)
g13ccvbc2ov,Cincy Classics 13 Black,,,,23 (13 Club White)
g13ccvbc3ov,Cincy Classics 13 Gray,,,,17 (13 Club Blue)
g13ccvbc4ov,Cincy Classics 13 Silver,,,,21 (13 Club Red)
g13ceast2ov,CINCY EAST 13.2 Blue,,,,17 (13 Club Blue)
g13cinva1ov,CinciVB Acad 13-1,,,,9 (13 Club Red)
g13cinva2ov,CinciVB Acad 13-2,,,,21 (13 Club White)
g13clipp1ov,CYVBC Surge 13 Black,,,,31 (13 Premier)
g13cloud2rm,Cloud Peak 13 Elite,,,6 (13 Club),
g13cojrs1rm,CoJrs 13Tammy,,,1 (13 Elite),
g13cojrs2rm,CoJrs 13Emily,,,9 (13 Elite),
g13couvb15ho,CVBC 13 Regional,,,,23 (13 Club White)
g13couvb2ho,CVBC 13-1,,,,3 (13 Club Blue)
g13croivnho,CROI VBC 13,,,,11 (13 Open)
g13cross1ho,COA 13-Kangaroos,,,,13 (13 Premier)
g13cross1rm,Crossfire 13-1,,,13 (13 Club),
g13cross2ho,COA 13-Jaguars,,,,19 (13 Club White)
g13cvata1rm,CVA 13 Black,,,7 (13 Club),
g13cvbco1ov,CVC 13 BLACK,,,,9 (13 Premier)
g13djvbc1ov,Dayton Jrs.-13 Blue,,,,23 (13 Club Blue)
g13djvbc2ov,Dayton Jrs.-13 Gold,,,,21 (13 Club Red)
g13eleva1ov,Elevation 13 Molly,,,,2 (13 Open)
g13eleva2ov,Elevation 13 Collins,,,,5 (13 Premier)
g13eleva3ov,Elevation 13 OC,,,,5 (13 Premier)
g13elevb1rm,Elevation 13 Peak,,,3 (13 Elite),
g13elevb2rm,Elevation 13 Timberline,,,3 (13 Elite),
g13evady1pr,EVA 13 Blue,,,,1 (13 Club Red)
g13evavb1ho,Empowered 13 Elite Black,,,,9 (13 Premier)
g13evavb2ho,Empowered 13 Elite Onyx,,,,15 (13 Club White)
g13excel1nt,EXCEL 12 National Red,3 (12 & Under),,,
g13excnw1ce,Excel NW 13-1 Lux,,,7 (13 Elite),
g13five11lk,Five:1 13-Black,,,,25 (13 Premier)
g13five12lk,Five:1 13-Blue,,,,13 (13 Club Red)
g13forza1sc,FORZA1 12 ONE,15 (12 & Under),,,
g13frogs1nt,MADFROG 12'S N GREEN,4 (12 & Under),,,
g13frvbc1rm,FRVBC 13-1 Black,,,7 (13 Elite),
g13frvbc2rm,FRVBC 13-2 Red,,,15 (13 Club),
g13grbvc1ho,GRV 13 Black,,,,19 (13 Club Blue)
g13havoc1ho,Select 13 Elite,,,,13 (13 Club Blue)
g13hedln1ov,Headlines VBC 13 Navy,,,,9 (13 Club White)
g13hedln2ov,Headlines VBC 13 Orange,,,,15 (13 Club Red)
g13highd1rm,High Desert Elite 13 E,,,3 (13 Club),
g13jugge1rm,Juggernaut 13-Regional1,,,6 (13 Elite),
g13k1vol6pu,K1 MANATI JASON 12-1,5 (12 & Under),,,
g13legvc1lk,Legacy 13-1 ADIDAS,6 (12 & Under),,,3 (13 Open)
g13legvc2lk,Legacy 13-2 ADIDAS,,,,2 (13 Premier)
g13legvc2pr,Legacy KY 13 Pink,,,,23 (13 Club Red)
g13lexvb1pr,Lex United 13 Elite,,,,19 (13 Premier)
g13lexvb2pr,Lex United 33 Elite,,,,15 (13 Club Red)
g13mavas1pr,MAVA Adidas 13-Select,,,,23 (13 Premier)
g13mavas2pr,MAVA Adidas 13-Elite,,,,3 (13 Club White)
g13mavbc1ha,MAVS KC 12-1,1 (12 & Under),,,
g13mavrk1ov,Maverick 13 Maroon,,,,21 (13 Premier)
g13mavrk2ov,Maverick 13 Grey,,,,5 (13 Club White)
g13metro1ho,Metro VBC 13 Pink,,,,14 (13 Open)
g13metro2ho,Metro VBC 13 Black,,,,19 (13 Premier)
g13metro3ho,Metro VBC 13 White,,,,5 (13 Club White)
g13metro4ho,Metro VBC 13 Gray,,,,19 (13 Club Red)
g13mieva1lk,MiElite 13 Mizuno,,,,15 (13 Open)
g13milon1sc,Miz LB 12 Rockstar,9 (12 & Under),,,
g13mlwst1bg,MKE Sting 13 Gold,,,,10 (13 Open)
g13mlwst2bg,MKE Sting 13 Black,,,,5 (13 Premier)
g13mlwst3bg,MKE Sting 13 White,,,,2 (13 Club Red)
