TeamCode,TeamName,2026NIT,Power Pool Jotform,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11
g14afive1so,A5 14 Helen,Yes,YES,5 (13 & Under),10 (13 Open),,,,,,,,,,,,,,,,3 (13 Open),,,,,,,,,,
g14afive2so,A5 14 MoBetty,Yes,NO,,5 (13 USA),,,,,,,,,,,,,,,,1 (13 Premier),,,,,,,,,,
g15afive1so,A5 15-Kelly,Yes,YES,1 (14 & Under),,11 (14 Open),,,,,,,,,,5 (15 Invitational),,,,,,11 (14 Open),,,,,,,,,
g15afive2so,A5 15-Victor,Yes,NO,61 (14 & Under),,5 (14 USA),,,,,,,,,,,,,,,,13 (14 Premier),,,,,,,,,
g18afive1so,A5 18 Marc,Yes,YES,2 (17 & Under),,11 (17 Open),2 (18 Open),,,3rd (G18 Open),,,,,,,,,,,,,5 (17 Open),,,,,,,,
g18afive2so,A5 18 Boba,Yes,NO,96 (17 & Under),,18 (17 USA),,,,1st (G18 USA),,,,,,,,,,,,,3 (17 Premier),,,,,,,,
g18avatx1ls,AVA TX 18 Adidas,Yes,NO,87 (17 & Under),,,,,,,,,,,,,,,11 (18 Liberty ),18 (18 Liberty),,,52 (17 Open),,,,,,,,
g16avatx1ls,AVA TX 16 Adidas,Yes,NO,91 (15 & Under),,29 (15 American),,,,,,,,,,,,,,,,,,,,,,,,,
g15avatx1ls,AVA TX 15 Adidas,Yes,NO,75 (14 & Under),,,,,,,,,,,,,,,,,,,,,,,,,,,
g17avatx1ls,AVA TX 17 Adidas,Yes,NO,114 (16 & Under),,,,,,,,,,,,,,,,,,,73 (16 Premier),,,,,,,,
g17absol1nc,Absolute 17 Black,Yes,YES,45 (16 & Under),,19 (16 Open),,,,,,,,,,,,,,,,,,,,,,,,,
g14absol1nc,Absolute 14 Black,Yes,YES,,17 (13 Open),,,,,,,,,,,,,,,,,,,,,,,,,,
g16absol1nc,Absolute 16 Black,Yes,YES,26 (15 & Under),,18 (15 Open),,,,,,,,,,,,,,,,,,,,,,,,,
g15absol1nc,Absolute 15 Black,Yes,NO,51 (14 & Under),,31 (14 National),,,,,,,,,,,,,,,,,,,,,,,,,
