b14trngl2cr,,,,,7 (Boys 14U (1-day Sunday)),,,,,,,,,,,,,,,,,,,,,,,,Triangle Boys 14 Blue
b14unvbc1ha,,,,9 (14 Boys),,,,,,,,,,,,,,,,,,,,,,,,,KC United 14 Navy
b14welln1fl,,,,,,,9th (B14 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b14wpvcb1fl,,,,,,,1st (B14 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b14wpvcb2fl,,,,,,,6th (B14 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b14wpvcb3fl,,,,,,,15th (B14 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15513vb1ov,,,,,,,,,,,,19 (16 Boys),,,,,,,,,,,,,,,,,513VB Boys 15-1
b15akiva1pr,,,,,,,,,,,,17 (16 Boys),,,,,,,,,,,,,,,,,KIVA 15B Red
b15cattk3ov,,,,,,,,,,,,11 (16 Boys),,,,,,,,,,,,,,,,,Cinci Attack 15 Red
b15cattk4ov,,,,,,,,,,,,21 (16 Boys),,,,,,,,,,,,,,,,,Cinci Attack 15 Gold
b15mavsb1ha,,,,5 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 15 Red
b15msprt1ov,,,,,,,,,,,,18 (16 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.51
b15muted1fl,,,,,,,2nd (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15muted2fl,,,,,,,10th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15obvbc1fl,,,,,,,7th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15ogold1fl,,,,,,,5th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15rtvbaaha,,,,15 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,RootsVBA 15-Blazegrove
b15skyln1fl,,,,,,,6th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15tkiwi1fl,,,,,,,1st (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15tnvba1ha,,,,11 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,True North B15s Green
b15trdun1cr,,,,,4 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,TU Boys 15-Elite
b15tribe1fl,,,,,,,1st (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15tribe2fl,,,,,,,9th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15tribe3fl,,,,,,,11th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15tropi1fl,,,,,,,11th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15wpvcb1fl,,,,,,,3rd (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15wpvcb2fl,,,,,,,3rd (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b15wpvcb3fl,,,,,,,7th (B15 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16aavbc1ov,,,,,,,,,,,,5 (16 Boys),,,,,,,,,,,,,,,,,A2 16 Red
b16aavbc2ov,,,,,,,,,,,,27 (16 Boys),,,,,,,,,,,,,,,,,A2 16 Scarlet
b16allin1fl,,,,,,,17th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16aovbl1ha,,,,9 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Alpha Omega Boys 16-1
b16atlxt1so,,,,,,,21st (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16avvbc1ls,,,,13 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Austin Velocity Boys 161
b16bavbc1ok,,,,2 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,BAVC Boys 16-1
b16bkeye1ov,,,,,,,,,,,,25 (16 Boys),,,,,,,,,,,,,,,,,Buckeye Boys 16 Red
b16bnpvb1ch,,,,,10 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,No Panic 16 Boys
b16carun1cr,,,,,,,,,,,,3 (16 Boys),,,,,,,,,,,,,,,,,CUVC 16-1 Boys
b16cattk2ov,,,,,,,,,,,,2 (16 Boys),,,,,,,,,,,,,,,,,Cinci Attack 16 Red
b16cattk3ov,,,,,,,,,,,,9 (16 Boys),,,,,,,,,,,,,,,,,Cinci Attack 16 Gold
b16cattk4ov,,,,,,,,,,,,5 (16 Boys),,,,,,,,,,,,,,,,,Cinci Attack 16 White
b16ceast1ov,,,,,,,,,,,,21 (16 Boys),,,,,,,,,,,,,,,,,CINCY EAST BOYS 16.1Black
b16centl1ia,,,,15 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Iowa Galaxy 16-1
b16chmpv1cr,,,,,12 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Champion 16 Boys
b16cinel1ov,,,,,,,,,,,,13 (16 Boys),,,,,,,,,,,,,,,,,Cincy Elite 16 Miracle
b16cinel2ov,,,,,,,,,,,,24 (16 Boys),,,,,,,,,,,,,,,,,Cincy Elite 16 Thompson
b16crice1pm,,,,,9 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Carolina ICE 16-1
b16dnavb1fl,,,,,,,14th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16evrcv1ho,,,,,,,,,,,,11 (16 Boys),,,,,,,,,,,,,,,,,EVRC 16 W
b16jaxjr1fl,,,,,,,15th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16limit1fl,,,,,,,17th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16lnvbc1cr,,,,,6 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,LKN 16s Boys
b16mavsb1ha,,,,1 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 16 Red
b16mavsb2ha,,,,10 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 16 White
b16mnsel2no,,,,6 (16 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 16-2
b16msprt1ov,,,,,,,,,,,,1 (16 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.61
b16msprt2ov,,,,,,,,,,,,14 (16 Boys),,,,,,,,,,,,,,,,,Mintonette Sports b.62
