TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName
WAVE 15-Brennan,g15wvevb1sc,g15wvevb1sc,7 (15 & Under),15 & Under,2026 Triple Crown NIT
Tstreet 15-Chandler,g15tstrt1sc,g15tstrt1sc,9 (15 & Under),15 & Under,2026 Triple Crown NIT
SC Rockstar 15 -Carlos,g15scroc1sc,g15scroc1sc,10 (15 & Under),15 & Under,2026 Triple Crown NIT
AJV 15 adidas,g15ajvba1ls,g15ajvba1ls,11 (15 & Under),15 & Under,2026 Triple Crown NIT
Top Select 15 Elite,g15tsvba1fl,g15tsvba1fl,11 (15 & Under),15 & Under,2026 Triple Crown NIT
COAST 15-1 Luis,g15coast1sc,g15coast1sc,13 (15 & Under),15 & Under,2026 Triple Crown NIT
D Skyline 15 Royal-David,g15skyln2nt,g15skyln2nt,13 (15 & Under),15 & Under,2026 Triple Crown NIT
OT 15 T Randy,g15otbva1fl,g15otbva1fl,13 (15 & Under),15 & Under,2026 Triple Crown NIT
Premier Nebraska 15 Gold,g15premr1gp,g15premr1gp,13 (15 & Under),15 & Under,2026 Triple Crown NIT
Club Sand 15 Leão,g15clsvb1im,g15clsvb1im,17 (15 & Under),15 & Under,2026 Triple Crown NIT
TAV 15 Black Jason,g15txadv1nt,g15txadv1nt,18 (15 & Under),15 & Under,2026 Triple Crown NIT
HJV 15 ELITE,g15houjr1ls,g15houjr1ls,19 (15 & Under),15 & Under,2026 Triple Crown NIT
Rockwood Thunder 15 Elite,g15rwdth1gw,g15rwdth1gw,19 (15 & Under),15 & Under,2026 Triple Crown NIT
1st Alliance 15 Gold,g15allia1gl,g15allia1gl,21 (15 & Under),15 & Under,2026 Triple Crown NIT
1United 15N Blue,g151unvb1nt,g151unvb1nt,21 (15 & Under),15 & Under,2026 Triple Crown NIT
AVC CLE 15 Red,g15acavc1ov,g15acavc1ov,21 (15 & Under),15 & Under,2026 Triple Crown NIT
AZ REV 15 Premier,g15revol1az,g15revol1az,21 (15 & Under),15 & Under,2026 Triple Crown NIT
H Skyline 15 Royal,g15hosky1ls,g15hosky1ls,25 (15 & Under),15 & Under,2026 Triple Crown NIT
Vision 15 Gold,g15vsion1nc,g15vsion1nc,26 (15 & Under),15 & Under,2026 Triple Crown NIT
PVA 15 ELITE,g15pvakc1ha,g15pvakc1ha,27 (15 & Under),15 & Under,2026 Triple Crown NIT
Tri-State Elite 15 Blue,g15trist1pr,g15trist1pr,27 (15 & Under),15 & Under,2026 Triple Crown NIT
Elevation 15 ED,g15eleva1ov,g15eleva1ov,29 (15 & Under),15 & Under,2026 Triple Crown NIT
Iowa United 151 Elite,g15iautd1ia,g15iautd1ia,29 (15 & Under),15 & Under,2026 Triple Crown NIT
Northern Lights 15-1,g15nlite1no,g15nlite1no,29 (15 & Under),15 & Under,2026 Triple Crown NIT
OT 15 O Christian,g15otbva2fl,g15otbva2fl,29 (15 & Under),15 & Under,2026 Triple Crown NIT
MADFROG 15'S N BLACK,g15frogs2nt,g15frogs2nt,33 (15 & Under),15 & Under,2026 Triple Crown NIT
KIVA 15 Red,g15akiva1pr,g15akiva1pr,34 (15 & Under),15 & Under,2026 Triple Crown NIT
NKYVC 15-1 Tsunami,g15nkyvc1pr,g15nkyvc1pr,35 (15 & Under),15 & Under,2026 Triple Crown NIT
Tribe 15 VKTRY Cardinal,g15tribe1fl,g15tribe1fl,35 (15 & Under),15 & Under,2026 Triple Crown NIT
Paramount VBC 15 Nick,g15parvb1ch,g15parvb1ch,37 (15 & Under),15 & Under,2026 Triple Crown NIT
SC Rockstar 15-Stevi,g15scroc2sc,g15scroc2sc,37 (15 & Under),15 & Under,2026 Triple Crown NIT
SG Elite 15 Roshambo,g15sgelt1sc,g15sgelt1sc,37 (15 & Under),15 & Under,2026 Triple Crown NIT
STVA 15-1 Cristian,g15stvac1ls,g15stvac1ls,37 (15 & Under),15 & Under,2026 Triple Crown NIT
DYNASTY 15 Black,g15tmdyn1ha,g15tmdyn1ha,41 (15 & Under),15 & Under,2026 Triple Crown NIT
Munciana 15 Blue,g15munvb1ho,g15munvb1ho,42 (15 & Under),15 & Under,2026 Triple Crown NIT
Club One AZ 15Platinum,g15onevb1az,g15onevb1az,43 (15 & Under),15 & Under,2026 Triple Crown NIT
Drive Nation 15-Red,g15drive1nt,g15drive1nt,43 (15 & Under),15 & Under,2026 Triple Crown NIT
Absolute 15 Black,g15absol1nc,g15absol1nc,45 (15 & Under),15 & Under,2026 Triple Crown NIT
Alamo 15 Premier,g15alamo1ls,g15alamo1ls,45 (15 & Under),15 & Under,2026 Triple Crown NIT
Mintonette Sports m.51,g15msprt1ov,g15msprt1ov,45 (15 & Under),15 & Under,2026 Triple Crown NIT
SynergyForce G 15-1 Natl,g15force1nc,g15force1nc,45 (15 & Under),15 & Under,2026 Triple Crown NIT
ID Crush 15 Yett,g15idcrs1im,g15idcrs1im,49 (15 & Under),15 & Under,2026 Triple Crown NIT
CoJrs 15Shannon,g15cojrs1rm,g15cojrs1rm,50 (15 & Under),15 & Under,2026 Triple Crown NIT
FaR Out 15 Black,g15fovbc1lk,g15fovbc1lk,51 (15 & Under),15 & Under,2026 Triple Crown NIT
Sunshine 15 Pacific,g15sunsh1sc,g15sunsh1sc,51 (15 & Under),15 & Under,2026 Triple Crown NIT
1st Alliance 15 Silver,g15allia2gl,g15allia2gl,53 (15 & Under),15 & Under,2026 Triple Crown NIT
H Skyline 15 Black,g15hosky2ls,g15hosky2ls,53 (15 & Under),15 & Under,2026 Triple Crown NIT
Legacy 15-2 ADIDAS,g15legvc2lk,g15legvc2lk,53 (15 & Under),15 & Under,2026 Triple Crown NIT
Triangle 15 Black,g15trngl1cr,g15trngl1cr,53 (15 & Under),15 & Under,2026 Triple Crown NIT
MKE Sting 15 Gold,g15mlwst1bg,g15mlwst1bg,57 (15 & Under),15 & Under,2026 Triple Crown NIT
HPSTL 15 Royal,g15hpstl1gw,g15hpstl1gw,58 (15 & Under),15 & Under,2026 Triple Crown NIT
Club V 15 Prodigy Steph,g15clubv1im,g15clubv1im,59 (15 & Under),15 & Under,2026 Triple Crown NIT
Premier Nebraska 15 Black,g15premr2gp,g15premr2gp,59 (15 & Under),15 & Under,2026 Triple Crown NIT
AZ Sky 15 Gold,g15azsky1az,g15azsky1az,61 (15 & Under),15 & Under,2026 Triple Crown NIT
CVC 15 BLACK,g15cvbco1ov,g15cvbco1ov,61 (15 & Under),15 & Under,2026 Triple Crown NIT
TAV Houston 15 Black,g15tavho1ls,g15tavho1ls,61 (15 & Under),15 & Under,2026 Triple Crown NIT
WAVE 15-Dave,g15wvevb2sc,g15wvevb2sc,61 (15 & Under),15 & Under,2026 Triple Crown NIT
KC Power 15-2,g15power2ha,g15power2ha,65 (15 & Under),15 & Under,2026 Triple Crown NIT
CUVC 15 Open,g15carun1cr,g15carun1cr,66 (15 & Under),15 & Under,2026 Triple Crown NIT
Austin Skyline 15 Royal,g15askyl1ls,g15askyl1ls,67 (15 & Under),15 & Under,2026 Triple Crown NIT
HJV 15 PREMIER,g15houjr2ls,g15houjr2ls,67 (15 & Under),15 & Under,2026 Triple Crown NIT
Momentous VBC 15-Tara,g15mmtsc1sc,g15mmtsc1sc,69 (15 & Under),15 & Under,2026 Triple Crown NIT
AP 15 adidas,g15aperf1ls,g15aperf1ls,70 (15 & Under),15 & Under,2026 Triple Crown NIT
MAVS 15 Elite,g15mavbc1ha,g15mavbc1ha,71 (15 & Under),15 & Under,2026 Triple Crown NIT
LAV 15 National Black,g15lavbc1gc,g15lavbc1gc,72 (15 & Under),15 & Under,2026 Triple Crown NIT
MKE Sting 15 Black,g15mlwst2bg,g15mlwst2bg,72 (15 & Under),15 & Under,2026 Triple Crown NIT
TAV 15 Black Sean,g15txadv2nt,g15txadv2nt,74 (15 & Under),15 & Under,2026 Triple Crown NIT
Academy 15 Diamond,g15ncvba1cr,g15ncvba1cr,75 (15 & Under),15 & Under,2026 Triple Crown NIT
CJV 15 Mizuno,g15cjvvb1cr,g15cjvvb1cr,76 (15 & Under),15 & Under,2026 Triple Crown NIT
A5 15-Victor,g15afive2so,g15afive2so,77 (15 & Under),15 & Under,2026 Triple Crown NIT
Vegas Aces 15 REN,g15vaces1sc,g15vaces1sc,77 (15 & Under),15 & Under,2026 Triple Crown NIT
JAX SKYLINE 15 Royal,g15skyln1fl,g15skyln1fl,79 (15 & Under),15 & Under,2026 Triple Crown NIT
NorCal 15-1 Black,g15norca1nc,g15norca1nc,80 (15 & Under),15 & Under,2026 Triple Crown NIT
NPJ Salem 15 National,g15npjvb1ce,g15npjvb1ce,81 (15 & Under),15 & Under,2026 Triple Crown NIT
EXCEL 15 National Red,g15excel1nt,g15excel1nt,82 (15 & Under),15 & Under,2026 Triple Crown NIT
UNION 15 Black,g15union1pr,g15union1pr,82 (15 & Under),15 & Under,2026 Triple Crown NIT
Madtown 151 National,g15madjr1bg,g15madjr1bg,84 (15 & Under),15 & Under,2026 Triple Crown NIT
Vision 15 Blue,g15vsion2nc,g15vsion2nc,85 (15 & Under),15 & Under,2026 Triple Crown NIT
Aspire 15 Alpha,g15aspir1az,g15aspir1az,86 (15 & Under),15 & Under,2026 Triple Crown NIT
ARIZONA STORM 15LIGHTNING,g15storm2az,g15storm2az,87 (15 & Under),15 & Under,2026 Triple Crown NIT
MN Select 15-1,g15mnsel1no,g15mnsel1no,87 (15 & Under),15 & Under,2026 Triple Crown NIT
Kairos 15 Alpha,g15kairo1no,g15kairo1no,89 (15 & Under),15 & Under,2026 Triple Crown NIT
MiElite 15 Mizuno,g15mieva1lk,g15mieva1lk,90 (15 & Under),15 & Under,2026 Triple Crown NIT
FORZA1 15 ONE,g15forza1sc,g15forza1sc,91 (15 & Under),15 & Under,2026 Triple Crown NIT
SPVB 15 Elite,g15spvbc1gl,g15spvbc1gl,91 (15 & Under),15 & Under,2026 Triple Crown NIT
Sky High Adidas 15 Elite,g15skyhi1gl,g15skyhi1gl,93 (15 & Under),15 & Under,2026 Triple Crown NIT
COAST 15-2 Colton,g15coast2sc,g15coast2sc,94 (15 & Under),15 & Under,2026 Triple Crown NIT
PineappleHP 15U,g15phpvb1ho,g15phpvb1ho,95 (15 & Under),15 & Under,2026 Triple Crown NIT
VCNebraska 15 Elite,g15vcneb1gp,g15vcneb1gp,95 (15 & Under),15 & Under,2026 Triple Crown NIT
Club V 15 Prodigy Kyle,g15clubv2im,g15clubv2im,97 (15 & Under),15 & Under,2026 Triple Crown NIT
Mintonette Sports m.52,g15msprt2ov,g15msprt2ov,98 (15 & Under),15 & Under,2026 Triple Crown NIT
AVA TX 15 Adidas,g15avatx1ls,g15avatx1ls,99 (15 & Under),15 & Under,2026 Triple Crown NIT
Pohaku 15-1,g15pohak1ha,g15pohak1ha,99 (15 & Under),15 & Under,2026 Triple Crown NIT
GJ 15 ADIDAS,g15gjvbc1fl,g15gjvbc1fl,101 (15 & Under),15 & Under,2026 Triple Crown NIT
Alliance 15 REN,g15allvb1so,g15allvb1so,102 (15 & Under),15 & Under,2026 Triple Crown NIT
MODE 15 National,g15mdevb1ev,g15mdevb1ev,103 (15 & Under),15 & Under,2026 Triple Crown NIT
Pipeline 15-Adidas,g15plscv1sc,g15plscv1sc,103 (15 & Under),15 & Under,2026 Triple Crown NIT
ATHENA VB 15-1 Gold National,g15athen1ce,g15athen1ce,105 (15 & Under),15 & Under,2026 Triple Crown NIT
DaKine U15 National Pink,g15dakwa1ps,g15dakwa1ps,105 (15 & Under),15 & Under,2026 Triple Crown NIT
NPJ Portland 15 National,g15npjpd1ce,g15npjpd1ce,105 (15 & Under),15 & Under,2026 Triple Crown NIT
Omni 15N1,g15omniv1az,g15omniv1az,105 (15 & Under),15 & Under,2026 Triple Crown NIT
Stars 15 Bing,g15stars1pm,g15stars1pm,109 (15 & Under),15 & Under,2026 Triple Crown NIT
SA Juniors 15 Adidas,g15sajvb1ls,g15sajvb1ls,110 (15 & Under),15 & Under,2026 Triple Crown NIT
CoJrs 15Candace,g15cojrs2rm,g15cojrs2rm,111 (15 & Under),15 & Under,2026 Triple Crown NIT
MVVC G 15 Red,g15mouvi1nc,g15mouvi1nc,111 (15 & Under),15 & Under,2026 Triple Crown NIT
MoCo MAVS 15 Red,g15mcmav1ls,g15mcmav1ls,113 (15 & Under),15 & Under,2026 Triple Crown NIT
MPV 15 National Green,g15mtnpk1im,g15mtnpk1im,113 (15 & Under),15 & Under,2026 Triple Crown NIT
Tstreet 15-Curtis,g15tstrt2sc,g15tstrt2sc,113 (15 & Under),15 & Under,2026 Triple Crown NIT
TW Skyline 15 Royal,g15twsky1ls,g15twsky1ls,113 (15 & Under),15 & Under,2026 Triple Crown NIT
Ozark Juniors 15 Premier,g15ojvbc1de,g15ojvbc1de,117 (15 & Under),15 & Under,2026 Triple Crown NIT
WPVC 15 Armour Black,g15wpvcb1fl,g15wpvcb1fl,118 (15 & Under),15 & Under,2026 Triple Crown NIT
Kairos 15 Beta,g15kairo2no,g15kairo2no,119 (15 & Under),15 & Under,2026 Triple Crown NIT
VC United 151 Elite,g15vcutd1gl,g15vcutd1gl,119 (15 & Under),15 & Under,2026 Triple Crown NIT
