g10994502pu,Herederas 10-2 Noelia,,,,,,,,,,,,,,9 (10 Girls),,,,,,,,
g10couvb1ho,CVBC 10-1,,,,,,,,,,23 (11 Girls),,,,,,,,,,,,
g10legvc1lk,Legacy 10-1 ADIDAS,,,,,,,,,,9 (11 Girls),,,,,,,,,,,,
g10tolvc1ov,TVC 10-Black,,,,,,,,,,21 (11 Girls),,,,,,,,,,,,
g11acavc1ov,AVC CLE 11 Red,,,,7 (12 Club),,,,,,,,,,,,,,,,,,
g11acavc2ov,AVC CLE 11 White,,,,15 (12 Club),,,,,,,,,,,,,,,,,,
g11akiva1pr,Adidas KIVA 11 Red,,,,,,,2 (12 Open),,,1 (11 Open),None (12 Girls Full Schedule),,,,,,,,,,,
g11akiva2pr,Adidas KIVA 11 White,,,,,,,9 (12 Club),,,,,,,,,,,,,,,
g11bossc1ov,Boss CLE 11-1,,,,14 (12 Club),,,,,,13 (11 Open),,,,,,,,,,,,
g11capco1fl,Cape Coast 11 GLORY,,,,,,,,,,,,,,20 (10 Girls),,,,,,,,
g11ccity1ho,Circle City 11 Purple,,,,,,,,,,3 (11 Open),,,,,,,,,,,,
g11ccity3ho,Circle City 11 Black,,,,,,,,,,15 (11 Girls),,,,,,,,,,,,
g11ccvbc1ov,Cincy Classics 11 Red,,,,,,,,,,9 (11 Girls),,,,,,,,,,,,
g11ccvbc2ov,Cincy Classics 11 Black,,,,,,,,,,17 (11 Girls),,,,,,,,,,,,
g11ccvvb1fl,CCVV 11 FUCHSIA,,,,,,,,,,,,,,26 (10 Girls),,,,,,,,
g11charg1ok,OK Charge 11 UA,,13 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11couvb1ho,CVBC 11-1 Ninjas,,,,,,,,,,2 (11 Girls),,,,,,,,,,,,
g11cross1ho,COA 11-Piranhas,,,,,,,,,,9 (11 Girls),None (12 Girls Full Schedule),,,,,,,,,,,
g11cvbco1ov,CVC 11 BLACK,,,,5 (12 Club),,,,,,11 (11 Open),,,,,,,,,,,,
g11cvbco2ov,CVC 11 BLUE,,,,13 (12 Club),,,,,,,,,,,,,,,,,,
g11cvbco3ov,CVC 11 SILVER,,,,16 (12 Club),,,,,,,,,,,,,,,,,,
g11drivn1fl,Driven 11 Teal,,,,,,8 (11-12G Club),,,,,,,,,,,,,,,,
